Number,Gender,NameSet,Title,GivenName,MiddleInitial,Surname,StreetAddress,City,State,StateFull,ZipCode,Country,CountryFull,EmailAddress,Username,Password,TelephoneNumber,MothersMaiden,Birthday,CCType,CCNumber,CVV2,CCExpires,NationalID,UPS,Color,Occupation,Company,Vehicle,Domain,BloodType,Pounds,Kilograms,FeetInches,Centimeters,GUID,Latitude,Longitude
1357,female,Hobbit,Ms.,Celendine,C,Baggins,Svinget 66,Mern,SJ,Region Sjælland,4735,DK,Denmark,CelendineBaggins@superrito.com,Bodem1935,ei4ueW8sahTh,21-87-53-55,Bolger-Baggins,5/18/1935,MasterCard,5444349875809059,484,11/2019,180535-3178,1Z W69 674 89 8509 006 4,Blue,Housing relocator,Tianguis,2011 Land Rover LR4,PrisonMobile.dk,A+,146.7,66.7,3' 10",116,20b27378-8520-4017-9560-af35f06ce35e,54.965585,12.095938
1358,male,Hobbit,Mr.,Alaric,Y,Gardner,870 Cheriton Dr,Ifafa Beach,KN,KwaZulu-Natal,4185,ZA,South Africa,AlaricGardner@teleworm.us,Paluncelow90,Ohc5tah2n,084 781 3632,Maggot,5/13/1990,Visa,4716464374095441,102,2/2016,,1Z 055 36A 18 8229 640 8,Blue,Embossing machine operator,Webcom Business Services,1995 Peugeot 605,LincolnAgent.co.za,A+,147.8,67.2,3' 10",116,d4b05312-4830-4437-9333-08998d5db11f,-30.498015,30.726748
1359,female,Hobbit,Mrs.,Hilda,I,Brownlock,Hugo Reta 18,Young,RN,Rio Negro,65100,UY,Uruguay,HildaBrownlock@einrot.com,Andsor,eg7Jiemep9,9899 2371,Rumble,11/6/1938,Visa,4716492916398973,675,11/2020,,1Z 466 466 27 1933 459 1,Red,Cleaning washing and metal pickling equipment tender,Tons O' Toys,2001 Oldsmobile O4,SpicyMagazines.uy,A+,117.3,53.3,3' 3",98,fc1259b8-50ec-420a-a894-6fde30de0f81,-32.736557,-57.67199
1360,female,Hobbit,Mrs.,Bell,M,Tunnelly,Alvaro Cunqueiro 18,Alcalá del Río,SE,Seville,41200,ES,Spain,BellTunnelly@superrito.com,Fley1990,raiRi0ch,617 697 625,Gaukrogers,9/18/1990,Visa,4539191592201668,351,5/2020,,1Z 0E2 159 21 3886 246 4,Blue,Mathematical statistician,Modern Realty,2001 Isuzu Axiom,TrendArchive.es,O+,117.3,53.3,2' 7",80,deb94e91-36ae-433f-a743-11fce777d5f1,37.539846,-5.940939
1361,female,Hobbit,Ms.,Poppy,P,Twofoot,Prinsessenweg 178,Leeuwarden,FR,Friesland,8931 EH,NL,Netherlands,PoppyTwofoot@rhyta.com,Granding92,aec1Zahl4y,06-75316010,Burrowes,11/24/1992,MasterCard,5534371300305330,275,3/2019,,1Z 768 629 07 4382 261 0,Blue,Closed captioner,Sun Foods,2003 Dodge Stratus,PilotPositions.nl,A+,133.5,60.7,2' 2",65,78ca16a1-7fab-47ce-b3de-fce4d3b22cd2,53.185166,5.85123
1362,male,Hobbit,Mr.,Heribald,N,Clayhanger,R Pelourinho 21,Parada de Gonta,VI,Viseu,3460-397,PT,Portugal,HeribaldClayhanger@einrot.com,Priked,Pexiihoo0ah,21 232 130 4360,Gammidge,2/7/1970,Visa,4539715010342827,010,2/2020,,1Z 024 0V8 99 6249 822 6,Blue,Record center clerk,Bugle Boy,2012 Ferrari 458 Italia,AttractionPlanet.com.pt,A+,143.2,65.1,2' 4",70,0fc41c22-e3d9-42fe-b729-412d397df903,40.857738,-7.964504
1363,male,Hobbit,Mr.,Marmadoc,M,Gamgee,Överhogdal 96,HÄSSLEHOLM,,,281 89,SE,Sweden,MarmadocGamgee@einrot.com,Hishonce,owai4oazaiG,0451-8094155,Hornblower,5/5/1948,Visa,4556844822130671,856,8/2016,480505-6993,1Z 236 15Y 80 7987 298 7,Blue,Tire changer,Corinthian Designs,2001 Saturn Vue,MatureFast.se,O+,117.3,53.3,3' 7",109,494eb797-6383-4e8f-b8c8-80f64a470da0,56.124285,13.804236
1364,male,Hobbit,Mr.,Scudamor,L,Tûk,Hvalåsveien 231,SANDEFJORD,,,3230,NO,Norway,ScudamorTuk@fleckens.hu,Antarld,chi1Pe5Dae,434 00 716,Bracegirdle,4/3/1957,Visa,4556738852808489,307,5/2020,,1Z 290 139 61 8720 827 9,Blue,Geriatric nurse,Honest Air Group,2009 BMW 740,DownloadSigns.no,O+,139.5,63.4,2' 7",78,7563f0dd-fb6a-4aea-800b-977eb1f27d03,59.058308,10.306043
1365,male,Hobbit,Mr.,Hildibrand,B,Chubb-Baggins,73 rue Beauvau,MARSEILLE,PA,Provence-Alpes-Côte d'Azur,13001,FR,France,HildibrandChubb-Baggins@dayrep.com,Sady1978,Wul4saesh,04.99.01.60.57,Twofoot,1/1/1978,Visa,4532096800344696,723,10/2016,,1Z 8Y4 912 91 8845 084 4,Blue,Street vendor,Maxi-Tech,1997 Ford Galaxy,RuleEnforcement.fr,B+,125.6,57.1,2' 6",76,a21f21c0-bcba-45d6-9cc1-16d260c6e2d6,43.266869,5.360947
1366,male,Hobbit,Mr.,Harding,P,Brownlock,2154 Eglinton Avenue,Toronto,ON,Ontario,M4P 1A6,CA,Canada,HardingBrownlock@jourrapide.com,Sheor1986,aeChee2oy,416-417-2524,Hornblower,7/6/1986,Visa,4556557337353741,974,4/2018,285 266 987,1Z 948 138 76 1719 406 2,Green,Fire dispatcher,Mikro Designs,2003 Chrysler 300,MobileMufflers.ca,A+,142.3,64.7,3' 1",94,f1d60baf-0487-40d9-963a-c9bb82840764,43.712512,-79.503465
1367,female,Hobbit,Ms.,Jessamine,R,Burrowes,R Coutada 54,Espinho,AV,Aveiro,4500-364,PT,Portugal,JessamineBurrowes@dayrep.com,Sily1977,peeB7hoo,21 234 205 5124,Chubb,1/17/1977,MasterCard,5209638494702637,102,5/2018,,1Z 40W 403 01 7815 024 0,Red,Job service specialist,Practi-Plan,2000 Chrysler Viper,MealInfo.com.pt,A+,131.8,59.9,3' 1",93,fb54ad63-8d1f-4d1b-a7b3-86ce620df13a,40.993159,-8.613688
1368,male,Hobbit,Mr.,Mat,P,Goldworthy,Norðurbrún 51,Sauðarkrókur,,,551,IS,Iceland,MatGoldworthy@jourrapide.com,Sulliss,foh7Uidae,410 9251,Baggins,2/7/1935,MasterCard,5134633929932370,805,12/2016,,1Z 39F 83A 64 8310 407 9,Blue,Truck dispatcher,Cardinal Stores,1992 Nissan 100 NX,LargeLists.is,O+,142.1,64.6,3' 0",92,5a68be0f-fa27-4137-a0f4-c8f86f049b3d,65.646384,-19.600059
1369,female,Hobbit,Ms.,Rhoda,C,Brandagamba,Χαριλάου Τρικούπη 147,ΛΑΤΣΙΑ (ΛΑΚΚΙΑ),NI,Λευκωσία,2222,CY,Cyprus (Greek),RhodaBrandagamba@superrito.com,Whiseved,Acoi7aiGh,22 893363,Chubb-Baggins,6/26/1984,MasterCard,5443934730514373,015,10/2017,,1Z 1E8 W76 08 9601 579 5,Blue,Marine,Matrix Interior Design,1996 Volkswagen Caddy,LoyaltyUs.com.cy,O+,131.3,59.7,2' 10",86,c4e3daf0-a8be-4bd6-aa60-d8b3f9629510,41.371789,-72.939098
1370,male,Hobbit,Mr.,Isengar,L,Underhill,Mollstrasse 75,Mainz Drais,RP,Rheinland-Pfalz,55127,DE,Germany,IsengarUnderhill@dayrep.com,Licureaund77,TaiR5hai1n,06131 74 45 62,Underhill,12/5/1977,Visa,4556678606081001,745,10/2019,,1Z 837 736 90 5106 875 5,Blue,Railroad conductor,Body Toning,2001 Ferrari 360,SouthDunes.de,A+,147.8,67.2,2' 9",85,20af2045-5be2-4951-9de7-a21cb3da420c,49.932922,8.234078
1371,male,Hobbit,Mr.,Wilimar,L,Underhill,Libellengasse 89,SATTELBACH,NO,Lower Austria,2532,AT,Austria,WilimarUnderhill@jourrapide.com,Piten1937,fuwos0hieM,0688 306 12 58,Galbassi,12/30/1937,MasterCard,5536358176821605,279,5/2020,,1Z 675 333 64 9903 359 4,Green,Correctional treatment specialist,Budget Power,2007 Seat Alhambra,FemaleCoalition.at,A+,122.3,55.6,2' 4",70,06ee4ba1-ef7b-4cf5-9bdc-7e8116825d64,47.967492,16.199543
1372,male,Hobbit,Mr.,Bodo,B,Roper,Ctra. Villena 84,Carrión de los Condes,P,Palencia,34120,ES,Spain,BodoRoper@einrot.com,Leou1938,To5chus9,770 250 428,Longhole,1/28/1938,MasterCard,5266881552163967,733,7/2017,,1Z 851 372 47 8983 157 7,White,Sportscaster,Team Designers and Associates,1999 Kia Clarus,InsureSecrets.es,O-,129.8,59.0,3' 10",117,ebb2454a-debe-461e-80fc-1382d1391ff6,42.268461,-4.588785
1373,male,Hobbit,Mr.,Holfast,P,Galbassi,Grazer Strasse 19,HARRERSDORF,NO,Lower Austria,2143,AT,Austria,HolfastGalbassi@fleckens.hu,Ticamin,goo3Waev,0681 531 43 75,Gardner,10/1/1991,MasterCard,5291793042189230,510,3/2017,,1Z 408 763 52 7366 275 2,Blue,Able seaman,Magna Solution,2011 Lexus RX,ShareTalent.at,O+,129.8,59.0,3' 5",103,e14e51f3-a774-4280-b85b-569b13287d08,48.722572,16.695298
1374,female,Hobbit,Mrs.,Maxima,C,Hayward,Quadra 147,Farvagny-le-Petit,,,1726,CH,Switzerland,MaximaHayward@dayrep.com,Quission,vie7Sheivie6,026 865 41 55,Hogpen,12/25/1990,Visa,4532224485814649,933,4/2020,,1Z 757 845 35 0784 224 2,Blue,Plan examiner,Monmax,2008 Lada Niva,GreenerTaxis.ch,O-,103.8,47.2,3' 11",120,3a065b86-b37c-43e6-b5b4-02ad8ca75549,46.747575,7.001368
1375,male,Hobbit,Mr.,Isumbras,N,Gardner,Via Leopardi 27,Ardenno,SO,Sondrio,23011,IT,Italy,IsumbrasGardner@gustr.com,Penot1955,eicoo8ieG5Ph,0396 2692041,Burrowes,4/30/1955,MasterCard,5314499354602413,219,4/2016,FW26202469,1Z A66 113 40 3625 128 4,Black,Risk manager,Olson Electronics,1998 Seat Toledo,CostumeLinks.it,B+,124.7,56.7,2' 9",85,b29b7798-31c0-43a4-8b7a-4459af3b1d08,46.171145,9.70547
1376,female,Hobbit,Mrs.,Eglantine,B,Sackville-Baggins,Simpnäs 76,NORRTÄLJE,,,761 27,SE,Sweden,EglantineSackville-Baggins@rhyta.com,Whout1930,oor4Xoo0h,0176-4472316,Tunnelly,9/19/1930,Visa,4929368489908740,165,6/2018,300919-7405,1Z 839 327 26 2996 790 1,Blue,LAN administrator,Handy Andy Home Improvement Center,2009 Nissan Micra,FoxMorning.se,O+,137.9,62.7,2' 10",86,6370827a-626f-4d2d-a53d-52a83d610568,59.672619,18.674126
1377,male,Hobbit,Mr.,Marco,M,Took,5 Adelianos Kambos,Larnaka,LA,Larnaca,6015,CY,Cyprus (Anglicized),MarcoTook@superrito.com,Sinund,aiN1SiHa,97 234976,Gardner,2/26/1982,MasterCard,5480683123801202,851,8/2018,,1Z 369 06F 24 9248 194 8,Blue,Certified respiratory therapist,Huyler's,1998 SsangYong Korando,MRequest.com.cy,O+,114.6,52.1,2' 7",78,b98e2705-6eec-4b1d-91f7-3122d28bf069,41.232994,-72.953661
1378,male,Hobbit,Mr.,Crispus,A,Tûk,Kiannonkatu 90,OULU,NO,Northern Ostrobothnia,90630,FI,Finland,CrispusTuk@teleworm.us,Foolity,raet3Faqu,046 027 0597,Brownlock,7/1/1960,Visa,4929904261395225,135,8/2016,010760-501X,1Z 490 02E 17 7827 018 0,Green,Instructional specialist,Cut Above,2002 GMC Sierra,ForeignScout.fi,O+,104.1,47.3,2' 6",77,0c12e2b4-2bdc-4970-87a1-024853a97b86,64.953183,25.479715
1379,female,Hobbit,Mrs.,Hilda,I,Underhill,Grazer Strasse 72,HANDELSPARK,OO,Upper Austria,4707,AT,Austria,HildaUnderhill@jourrapide.com,Whild1942,hoo3uDae2ah,0676 864 10 00,Proudfoot,10/17/1942,MasterCard,5312400192091175,720,10/2018,,1Z 3W3 642 52 5687 328 5,Blue,Prosthetics technician,Dahlkemper's,1995 Mitsubishi Space Runner,MortgageTrip.at,B+,115.1,52.3,3' 2",96,fd2d97db-92ee-4ca3-8575-b423c3ab2361,48.129471,13.939052
1380,female,Hobbit,Ms.,Lavinia,F,Lightfoot,Möhe 36,Illgau,,,6434,CH,Switzerland,LaviniaLightfoot@cuvox.de,Follut,ieRodu5ohf,041 923 19 56,Maggot,6/19/1959,Visa,4929843220582954,670,5/2019,,1Z 182 138 45 9909 914 3,Orange,Merchandise manager,McMahan's Furniture,2004 Ford Focus,IndexedMagazine.ch,A+,132.2,60.1,3' 11",119,f2da584f-92cf-4856-8b9f-e63d05e0727a,46.94216,8.739761
1381,female,Hobbit,Ms.,Nina,D,Hayward,ul. Opolska 78,Poznań,,,61-404,PL,Poland,NinaHayward@armyspy.com,Yourevervive,iigh8SeeK,66 284 73 32,Underhill,10/14/1991,MasterCard,5295884887086932,719,2/2018,91101499882,1Z F96 V13 37 9939 499 9,Blue,Publicity expert,Oranges Records & Tapes,1999 SsangYong Musso,PurplePic.pl,O+,128.0,58.2,3' 11",119,51503442-9762-4165-9257-479ed71047ee,52.35942,16.984461
1382,female,Hobbit,Mrs.,Laura,C,Headstrong,Agip u. 88.,Drávafok,BA,Baranya,7967,HU,Hungary,LauraHeadstrong@jourrapide.com,Nuied1966,Ohria1roo,(73) 263-353,Noakes,2/16/1966,Visa,4556907715202293,952,7/2019,,1Z A96 127 79 8647 196 2,Green,Library aide,Harold's,2008 Ford Bantam,ExclusiveLots.hu,B+,127.4,57.9,2' 2",65,1de03eb2-bc04-4b1b-9c0f-054abead7d1c,45.843413,17.710629
1383,female,Hobbit,Ms.,Malva,H,Tunnelly,Palackého 1464,Písek 1,JC,Jihoceský kraj,397 01,CZ,Czech Republic,MalvaTunnelly@jourrapide.com,Dably1972,Niegheeg2,721 181 700,Hogpen,9/24/1972,Visa,4556354883188550,513,2/2019,,1Z 309 771 13 2344 404 0,Blue,Textile knitting and weaving machine tender,Angel's,2000 BMW 330,WeddingDetailer.cz,A+,137.9,62.7,2' 9",83,4318cdd7-68c4-4f29-befb-51bc1acb7c0e,49.429065,14.199015
1384,female,Hobbit,Ms.,Dina,B,Puddifoot,Rúa do Paseo 59,Camas,SE,Seville,41900,ES,Spain,DinaPuddifoot@dayrep.com,Cantsed,Bierumo6,660 342 430,Tûk,11/28/1970,Visa,4556166761729309,567,8/2017,,1Z 63W E60 92 5452 633 4,Orange,Ship officer,Great American Music,1995 Maserati Ghibli,RawPreview.es,A+,117.7,53.5,3' 3",98,a7e95c30-2158-4485-8350-ba2f9c901d5a,37.345102,-6.042923
1385,male,Hobbit,Mr.,Ted,D,Sandyman,Krogvænget 4,København V,SJ,Region Sjælland,1622,DK,Denmark,TedSandyman@teleworm.us,Sevenjoy,Ahch3Ozio2,28-37-68-79,Galbassi,10/11/1963,MasterCard,5588854168284882,401,2/2016,111063-2637,1Z 6A8 675 71 0673 074 1,Blue,Customs agent,DGS VolMAX,2008 Mazda B4000,MoreSuperstore.dk,O+,131.8,59.9,2' 1",64,e93c08c5-6394-4968-8d02-26872b589b24,55.696953,12.651637
1386,male,Hobbit,Mr.,Bildat,E,Longhole,Voorimehe 93,Puuri,PL,Põlvamaa,63220,EE,Estonia,BildatLonghole@gustr.com,Eatexturink,aep6rah4Xoh,790 9297,Smallburrow,9/15/1977,MasterCard,5536866377555640,915,6/2020,,1Z 769 656 92 8276 530 7,White,Speech pathologist,Buehler Foods,2001 SsangYong Korando,SixMonthFoodSupply.com.ee,O+,130.2,59.2,3' 0",91,e5c2e956-0050-42a1-88dc-cbf9c326ce36,58.000503,26.976038
1387,male,Hobbit,Mr.,Briffo,A,Longhole,Postbox 213,Maniitsoq,QE,Qeqqata,3912,GL,Greenland,BriffoLonghole@gustr.com,Woulles,che4phoPei,81 88 61,Burrows,11/23/1939,Visa,4532517831049707,006,10/2019,,1Z 7F6 387 53 3185 067 6,Silver,Receiving clerk,Tape World,2005 Mahindra Armada,CardioBounce.gl,O-,143.4,65.2,2' 11",89,8ff97a6b-b5ed-4159-ac9c-6789271dbd3d,65.380354,-52.966504
1388,male,Hobbit,Mr.,Jago,T,Brownlock,P.O. Box 129,Aasiaat,QA,Qaasuitsup,3950,GL,Greenland,JagoBrownlock@rhyta.com,Hiceene,Aiceixeit5,89 72 86,Goodchild,11/7/1943,MasterCard,5540200047272325,777,10/2017,,1Z 89A W11 78 4941 565 9,Blue,Line repairer,HouseWorks!,2005 Chevrolet Malibu,DomainDebate.gl,A+,139.9,63.6,3' 8",111,d300566f-1f93-4ad4-9489-3f52438d561a,68.705762,-52.956745
1389,male,Hobbit,Mr.,Gerontius,C,Took-Brandybuck,Rue du Cornet 141,Attre,WHT,Hainaut,7941,BE,Belgium,GerontiusTook-Brandybuck@fleckens.hu,Rile1994,thuBuoj8Ei,0495 23 80 14,Burrows,3/17/1994,Visa,4532013893271611,257,3/2019,,1Z 017 874 06 4038 161 6,Blue,Textile knitting and weaving machine tender,Adaptas,2006 Kia Rio,SalmonSales.be,O+,142.3,64.7,2' 0",61,adabbe23-cefe-4851-97c9-33e3330624fe,50.5498,3.886997
1390,male,Hobbit,Mr.,Ilberic,S,Bracegirdle,38 Rue Cartajanna,Rahal,43,Governorate Sidi Bouzid,9123,TN,Tunisia,IlbericBracegirdle@rhyta.com,Efor1935,yoh6meP7g,76 149 013,Gaukrogers,3/29/1935,Visa,4485619142233538,710,2/2020,,1Z 8Y9 7Y8 78 7228 930 2,Blue,Public works inspector,Flipside Records,1992 Toyota Paseo,PenaltyGuide.tn,A+,141.7,64.4,2' 7",80,7bbc4651-e11b-4b00-ad6c-63db5a23a3ec,35.706667,9.815341
1391,female,Hobbit,Mrs.,Miranda,P,Zaragamba,211 Athenas St.,Kampi Farmaka,NI,Nicosia,2619,CY,Cyprus (Anglicized),MirandaZaragamba@fleckens.hu,Imary1953,chu3aeVuiB,22 300913,Gardner,4/13/1953,Visa,4916989405322180,827,4/2020,,1Z 116 58Y 88 2050 200 1,Blue,Internist,House 2 Home,1996 Porsche 993,BasicSpeech.com.cy,B+,114.2,51.9,3' 10",118,95ccd9c2-8202-4f35-8314-393430495600,41.30232,-72.949419
1392,male,Hobbit,Dr.,Longo,B,Galbassi,Prenzlauer Allee 73,Halle,ST,Sachsen-Anhalt,06012,DE,Germany,LongoGalbassi@superrito.com,Eappy1993,tha0Baek,0345 83 86 97,Hayward,8/10/1993,Visa,4485554071988317,074,12/2019,,1Z F93 360 37 4889 727 6,Green,Textile knitting and weaving machine setter,Action Auto,2005 Noble M14,NetworkingMixer.de,B+,110.0,50.0,3' 7",108,339298fe-6538-469c-bc36-d66072f11936,51.558953,11.935848
1393,female,Hobbit,Mrs.,Gloriana,F,Took-Brandybuck,2229 President St,Johannesburg,GA,Gauteng,2074,ZA,South Africa,GlorianaTook-Brandybuck@rhyta.com,Rothentome,eiM1nuMi2Y,084 523 7339,Grubb,7/10/1964,MasterCard,5514107702322679,355,8/2019,,1Z W32 0W1 36 9833 265 4,Green,Personnel recruiter,Edwards,1999 Dodge Ram,CurrentComics.co.za,O+,141.7,64.4,3' 10",116,96b0b58a-b4a8-4495-9875-6234f40bf845,-26.151893,28.027839
1394,male,Hobbit,Mr.,Iolo,R,Tunnelly,Οδός Πειραιώς 49,ΕΓΚΩΜΗ,NI,Λευκωσία,2409,CY,Cyprus (Greek),IoloTunnelly@cuvox.de,Nothey,iephul3aYie,22 225367,Gaukrogers,10/18/1958,Visa,4556378541751640,929,4/2016,,1Z Y07 658 45 6423 775 1,Blue,Nurse,Body Fate,1992 Ford Laser,ForwardCity.com.cy,B+,116.2,52.8,2' 7",78,b19fa1b2-f867-4424-ab8e-1b3cc0eba97f,41.294268,-72.871208
1395,male,Hobbit,Mr.,Prospero,P,Brandagamba,Boldistrasse 98,Niederönz,,,3362,CH,Switzerland,ProsperoBrandagamba@gustr.com,Dentry,biec9Idoo2d,032 331 99 52,Sandyman,4/11/1993,Visa,4556015574372023,331,7/2016,,1Z 102 V92 90 5626 096 2,Blue,Sewage treatment plant operator,Heilig-Meyers,1995 Ford Contour,CelebMatchmaker.ch,O-,142.8,64.9,3' 8",111,ef25cce4-54a4-407c-83d4-b9459963a7a7,47.107939,7.719293
1396,male,Hobbit,Mr.,Gerontius,J,Smallburrow,Postbox 156,Slædepatruljen Sirius,QE,Qeqqata,3992,GL,Greenland,GerontiusSmallburrow@teleworm.us,Rust1974,iGh0Ughah,33 35 48,Bolger-Baggins,11/15/1974,Visa,4485203866191691,412,1/2017,,1Z 293 725 04 7047 096 1,Blue,Airfield operations specialist,Raleigh's,1999 GMC Sonoma,LawnLessons.gl,A-,116.2,52.8,3' 9",114,b4f809bb-b4fd-440b-8bd3-f5b30b0cdfdd,67.354835,-47.976784
1397,female,Hobbit,Ms.,Lobelia,R,Gaukrogers,Napparngummut 61,Tasiilaq,SM,Sermersooq,3913,GL,Greenland,LobeliaGaukrogers@dayrep.com,Afrand,JaedeiD2zai,98 27 96,Sackville-Baggins,3/5/1935,MasterCard,5219514590623753,393,10/2016,,1Z 93V 634 12 7224 569 1,Blue,Umpire,Choices,2013 Scion FR-S,AlbertaCoupons.gl,A+,122.1,55.5,2' 6",75,627b2768-b3b5-499c-9da8-d94bdb036eaf,65.624967,-37.536827
1398,male,Hobbit,Mr.,Wilcome,M,Button,Kolde puiestee 25,Tallinn,HA,Harjumaa,15070,EE,Estonia,WilcomeButton@superrito.com,Yountly,eeQuai0eo,661 6313,Chubb,10/12/1931,MasterCard,5325097429351805,928,8/2018,,1Z 30V 7Y7 09 4643 798 3,Blue,Respiratory nurse,Highland Appliance,2001 Bentley Azure,TextFail.com.ee,O+,124.5,56.6,2' 1",63,3660ae5c-e282-4f40-a292-7f77c4fe1188,59.383382,24.673143
1399,female,Hobbit,Mrs.,Cora,A,Brandagamba,Gerbiweg 128,Buchs,,,9471,CH,Switzerland,CoraBrandagamba@dayrep.com,Lictur,ooB0quooFai,071 650 75 27,Smallburrow,1/14/1969,Visa,4716294166649927,401,10/2017,,1Z 585 147 81 1491 566 3,Silver,Stereotyper,Exact Realty,2010 Mazda CX-9,FlashTimer.ch,O+,105.8,48.1,2' 10",86,d09e5673-c994-4d5f-b038-21000727e87c,47.214382,9.520411
1400,male,Hobbit,Mr.,Basso,J,Goodchild,Resljeva 27,Žužemberk,,,8360,SI,Slovenia,BassoGoodchild@rhyta.com,Waget1994,Gai3phabei,070-046-142,Maggot,10/22/1994,MasterCard,5208839922402268,185,12/2016,,1Z 761 611 05 8187 996 3,Green,Geologist,Young @ Heart,2010 Hyundai Sonata,InstantReductions.si,B+,100.5,45.7,2' 2",65,e7cdb78c-e62b-4aaa-b4a8-fce6a596409e,45.759178,14.87067
1401,female,Hobbit,Mrs.,Primula,S,Bolger-Baggins,Kajaaninkatu 62,ESPOO,UU,Uusimaa,02130,FI,Finland,PrimulaBolger-Baggins@jourrapide.com,Hunnot,iengohPie2H,044 606 9488,Puddifoot,1/13/1932,Visa,4485036469637466,847,8/2018,130132-2107,1Z 834 6E5 82 3726 368 1,Blue,Extruding and drawing machine setters,Angel's,2000 Mitsubishi Lancer,PhoneIncentives.fi,O-,140.6,63.9,3' 8",111,5fb704b3-6553-47dd-ab0c-e06586078f2b,60.152639,24.641045
1402,male,Hobbit,Mr.,Iolo,P,Goodchild,Čechova 1320,Hlinsko v Cechách 1,PA,Pardubický kraj,539 01,CZ,Czech Republic,IoloGoodchild@teleworm.us,Reaps1994,Elighui4boh,776 233 439,Brockhouse,11/12/1994,Visa,4485625006187512,286,12/2017,,1Z 453 862 84 4150 529 5,Blue,Securities analyst,Grand Union,2011 Fiat Multipla,ConstructionTax.cz,B+,109.8,49.9,3' 0",91,b84168a1-3c4e-4521-8603-dddcce8b39e1,49.852694,15.96097
1403,male,Hobbit,Mr.,Habaccuc,A,Bunce,Mikkelenborgvej 94,København K,SJ,Region Sjælland,1390,DK,Denmark,HabaccucBunce@einrot.com,Rintuffight,Ei4OhCi6oh,41-94-90-50,Bolger,11/19/1969,Visa,4485253463092594,322,8/2020,191169-3891,1Z 005 9V0 03 1361 989 6,Blue,Civil drafter,Pro-Care Garden Maintenance,1999 Nissan R 391,HomeLived.dk,O+,112.4,51.1,2' 7",79,88ffd273-1300-4eb5-8f2f-c87825d7b39d,55.767494,12.474479
1404,female,Hobbit,Ms.,Hilda,V,Gardner,Χαριλάου Τρικούπη 210,ΛΑΤΣΙΑ (ΛΑΚΚΙΑ),NI,Λευκωσία,2232,CY,Cyprus (Greek),HildaGardner@einrot.com,Upwainuer,duLieGh2Ei,22 114533,Noakes,4/22/1948,MasterCard,5408963539812756,620,11/2017,,1Z W73 53W 69 2107 516 8,Blue,Portfolio manager,Pointers,1995 Mitsubishi Magna,MediaSuits.com.cy,O+,121.7,55.3,2' 5",74,32e4bd50-6023-4652-8694-92a40b79d917,41.359115,-72.948754
1405,female,Hobbit,Mrs.,Dina,M,Clayhanger,7 Greyfriars Road,CARDIGAN,,,SA43 8EF,GB,United Kingdom,DinaClayhanger@fleckens.hu,Unothouldits,Ath0jiapaef,070 1523 4084,Brandagamba,2/13/1956,Visa,4485329414737428,940,9/2020,XE 40 75 03 A,1Z 092 V18 65 4880 001 8,Blue,Host,Mervyn's,2009 Aston Martin DBS,SeekHDTV.co.uk,O+,127.2,57.8,3' 1",94,edc25e1f-fd81-4a2d-b6bf-e806ed21a279,52.025698,-4.725154
1406,male,Hobbit,Mr.,Gorbadoc,A,Fairbairn,10 boulevard de la Liberation,MARSEILLE,PA,Provence-Alpes-Côte d'Azur,13012,FR,France,GorbadocFairbairn@superrito.com,Theyony,pheesee6Us,04.64.62.05.23,Hogpen,7/13/1987,Visa,4532037724508792,340,5/2020,,1Z 602 618 03 8113 235 1,Blue,Staff assistant,York Steak House,2005 Tata E,PrintStats.fr,O+,114.2,51.9,2' 8",82,20198d73-4bb6-46ce-bc6e-514d37dcdddf,43.362154,5.415876
1407,female,Hobbit,Mrs.,Mimosa,A,Took-Brandybuck,2256 Stanley Rd,Mkuze,KN,KwaZulu-Natal,3979,ZA,South Africa,MimosaTook-Brandybuck@rhyta.com,Boderstury,einaeNoo6,085 168 3033,Hayward,2/16/1962,MasterCard,5273524055321689,622,1/2018,,1Z 59E 11E 95 2464 443 1,Purple,Forging machine operator,Edwards,1998 BMW 316,LincolnSearch.co.za,B+,122.3,55.6,3' 2",97,b0c2ad11-157e-489c-93bc-fa656ab70b4f,-27.664207,32.018547
1408,female,Hobbit,Mrs.,Amanda,D,Bunce,Avda. Generalísimo 34,Cintruénigo,NA,Navarre,31592,ES,Spain,AmandaBunce@jourrapide.com,Muctercupity,hooz0iZa4,622 449 721,Brandybuck,7/1/1988,MasterCard,5288583000491230,706,5/2020,,1Z 31A E46 93 0839 027 0,Blue,Agent-contract clerk,Pro Star Garden Management,2007 Bentley Continental GT,WeatherTelephone.es,A+,106.0,48.2,2' 11",90,fa67633e-1a5e-4711-8fb9-0d54b1df6b76,42.006229,-1.863016
1409,female,Hobbit,Mrs.,Yolanda,C,Goodbody,Verdandi Gränd 49,RISBÄCK,,,910 76,SE,Sweden,YolandaGoodbody@einrot.com,Shopling,oquu2kooW,0942-4725480,Hornblower,1/15/1939,Visa,4556207333596923,860,9/2019,390115-3803,1Z 803 900 93 6198 583 5,Blue,Unclaimed property officer,John Plain,1998 Mazda MS-9,CheapNursery.se,O+,147.2,66.9,2' 1",64,b0ef3e30-12e3-4593-aca5-49d9a8a16a74,63.524631,18.016362
